Titel,Datum,Datum 2
"Bentheim, Reichsgrafschaft ",1500-1752,Hannover 1806
"Braunschweig-Lüneburg, Herzogtum",1500-1803,
"Bremen, Erzbistum ",1500-1648,
"Bremen, Herzogtum ",1648-1719,
"Bremen, Reichsstadt ",1541,1666-1806
"Drenthe, Provinz Overijssel, Republik Vereinigte Niederlande",1581,1648-1796
"Flandern, Grafschaft",1500-1796,
"Flandern, Staatsflandern ",1648-1796,
"Friesland, Provinz Republik Vereinigte Niederlande ",1581,1648-1796
"Gelderland, Herzogtum ",1500-1581,
"Geldern, Provinz Republik Vereinigte Niederlande ",1581,1648-1796
"Generalitätslande, südliche Niederlande",1648-1796,
"Groningen, Provinz Republik Vereinigte Niederlande ",1581,1648-1796
"Hannover, Kurfürstentum",1692,1708-1806
"Hessen-Kassel, Landgrafschaft",1500-1806/07,
"Holland, Provinz Republik Vereinigte Niederlande",1581,1648-1796
"Hoya, Reichsgrafschaft",1500-1582,1705-1806 Hannover
"Limburg, Herzogtum",1500-1648,Generalitätslande 1796
"Lippe, Reichsgrafschaft",1500-1720,1789
"Lippe, Fürstentum ",1789-1918,
"Minden, Fürstbistum",1500-1648,
"Minden, Fürstentum",1648-1807/08,
"Oldenburg, Reichsgrafschaft ",1500-1777,
"Oldenburg, Herzogtum ",1777-1815,
"Ostfriesland, Grafschaft",1500-1677,
"Ostfriesland, Fürstentum",1677-1807,seit 1744 Preußen
"Overijssel, Provinz Republik Vereinigte Niederlande",1581,1648-1796
"Paderborn, Fürstbistum ",1500-1802/03,
"Schaumburg-Holstein, Grafschaft",1500-1640,1647
"Schaumburg, Grafschaft Hessen-Kassel ",1647/48-1806/07,
"Schaumburg-Lippe, Grafschaft",1647/48-1807,
"Utrecht, Provinz Republik Vereinigte Niederlande",1581,1648-1796
"Verden, Hochstift",1500-1648,
"Verden, Herzogtum",1648-1806,
"Zeeland, Provinz Republik Vereinigte Niederlande",1581,1648-1796
