"Autor, Herausgeber oder Institution",Jahr ermittelt,Titel,Untertitel,Dokumententyp,Ort,Zeitschrift/Zeitung,Band,Nummer,Seiten von–bis,Erfasst am
"Feige, Rudolf",1949,Wirtschaftsentwicklung im Schaumburger Land,,Zeitschriftenaufsatz,,Leistungsschau Kreis Grafschaft Schaumburg,,,,30.11.2015 10:25
"Aelst, Pieter Coecke van",1539,Die inventie der colommen; Generale reglen der achitecture,,Buch (Monographie),Antwerpen,,,,,14.12.2015 13:19
"Bei der Wieden, Brage",2004,Kameraltheologie? Ein Konzept zur Entschuldung der Grafschaft Schaumburg (1577),,Beitrag in …,,,63,,61–86,16.12.2015 15:28
"Höing, Hubert",2004,Strukturen und Konjunkturen,Faktoren der schaumburgischen Wirtschaftsgeschichte,Buch (Sammelwerk),Bielefeld,,63,,,16.12.2015 15:31
"Husmeier, Gudrun",2004,Agrarwirtschaftliche Interessen als Triebfeder der Landespolitik im 16. Jahrhundert,,Beitrag in …,,,,,27–60,16.12.2015 15:34
"Bei der Wieden, Helge",2004,Der Dreißigjährige Krieg in der Grafschaft Schaumburg.,Schäden und ihre Beseitigung,Beitrag in …,,,,,87–114,16.12.2015 15:39
"van Huystee, Marit",1994,"The lost Gateway of Jakarta,",,Buch (Monographie),Fremantle,,,,,06.01.2016 17:52
"Green, Jeremy N.",1989,"The loss of the Verenigde Oostindische compagnie retourschip Batavia, Western Australia 1629",An excavation report and catalogue of artefacts,Buch (Monographie),Oxford,,489,,,06.01.2016 17:55
"Gaastra, F. S.",1982,De geschiedenis van de VOC,,Buch (Monographie),Bussum,,,,,13.01.2016 09:32
"Oldendorp, Landbauverwalter zu Münden",1824,Historisch-technische Beschreibung der Weserbrücke zu Nienburg,,Zeitschriftenaufsatz,,Neues vaterländisches Archiv oder Beiträge zur allseitigen Kenntnis des Königreichs Hannover,1824,2,279–297,13.01.2016 14:54
"Pohle, Frank",2000,"Portal für die ""Waterpoort"" der Zitadelle von Batavia (Djarkarta)",,Beitrag in …,,,,,51–52,13.01.2016 16:24
"Kastler, José, Lüpkes, Vera",2000,Die Weser - Einfluss in Europa,Aufbruch in die Neuzeit,Buch (Sammelwerk),Holzminden,,,,,13.01.2016 16:28
"Bergers, Helga",2000,Fragment eines für die Waterpoort der Zitadelle von Batavia bestimmten Steinportals vor 1629,,Beitrag in …,,,,,50,13.01.2016 16:30
"Schmidt, Liesel",2005,Bentheimer Sandstein und ein Schiffswrack im Indischen Ozean,,Zeitschriftenaufsatz,,Bentheimer Jahrbuch,,,63–74,13.01.2016 16:33
"Jahns, Werner",2000,Das Sollinger Steinwesen von 1660-1830,,Zeitschriftenaufsatz,,Jahrbuch für den Landkreis Holzminden,2001,19,51–88,09.02.2016 15:57
"Meischke, R.",1952,Het architectonische Ontwerp in de Nederlanden gedurende de late Middeleeuwen en de Zestiende Eeuw,,Zeitschriftenaufsatz,,Bulletin KNOB,5,5,161–230,01.04.2016 14:38
"Meischke, Ruud",1994,Het Amsterdamse fabrieksambt van 1595 - 1625,,Zeitschriftenaufsatz,,Bulletin KNOB,93,3,100–122,01.04.2016 14:46
"Englert, Anton",1997,Das neuzeitliche Wrack aus dem Hedwigenkoog,,Buch (Monographie),Bonn,,,,,18.04.2016 11:25
"Kühn, Hans Joachim",1999,Gestrandet bei Uelvesbül,Wrackarchäologie in Nordfriesland,Buch (Monographie),Husum,,,,,18.04.2016 11:27
"Schutten, G. J.",2004,Verdwenen schepen,,Buch (Monographie),,,,,,18.04.2016 11:28
"Morcken, Roald",1988,"Longships, Knarrs and Cogs",,Zeitschriftenaufsatz,,The Mariner´s Mirror,74,4,391–400,18.04.2016 11:32
"Vries, Dirk Jan de",1994,Bouwen in de late middeleeuwen,stedelijke architectuur in het voormalige Over-en Nedersticht,Buch (Monographie),Den Haag,,,,,19.04.2016 11:54
"Brüning, Hans Joachim",1984,Zur Kunst- und Baugeschichte der Abtei Corvey in der Barockzeit,,Zeitschriftenaufsatz,,"Westfalen - Hefte für Geschichte, Kunst und Volkskunde",62,,129–152,19.04.2016 13:09
"Schoups, Inge; Veeckman, Johan",2015,The Antwerp City Hall,A 450 year story,Buch (Monographie),Antwerpen,,,,,19.04.2016 13:33
