"Autor, Herausgeber oder Institution",Jahr ermittelt,Titel,Untertitel,Dokumententyp,Ort,Zeitschrift/Zeitung,Band,Nummer,Seiten von–bis,Erfasst am,URL
"Boeck, Urs",2006,Zwei höfische Festräume: Gartentheater und Galeriegebäude,,Beitrag in …,,,,,67–78,14.08.2015 15:22,
"Böeseken, A. J.",1973,Dagregister en Briewe van Zacharias Wagenaer 1662-1666,,Buch (Sammelwerk),Pretoria,,,,,25.08.2015 14:59,
"Coehorn, Stichting Menno van",1982,Vesting,Vier eeuwen vestingbouw in Nederland,Buch (Sammelwerk),s'-Gravenhage,,,,,13.05.2014 12:04,
Fachbereich Architektur/Raum- und Umweltplanung/Bauingenieurwesen der Universität Kaiserslautern,1987,Festschrift em. Prof. Dr.-Ing. Martin Graßnick aus Anlaß der Vollendung seines 70. Geburtstages,,Buch (Sammelwerk),Kaiserslautern,,,,,11.11.2015 15:35,
"Hart, Vaughan",1998,'Paper Palaces' from Alberti to Scamozzi,Introduction,Beitrag in …,,,,,1–29,03.06.2014 15:23,
"Hurx, Merlijn",2014,Wandering Architects,Travelling as part of an architect´s education in the fifteenth century: The example of the Low Countries,Beitrag in …,,,,,28–39,16.06.2016 16:48,
"Neumann, H.",1991,Stadt und Festung Jülich auf bildlichen Darstellungen.,Von der Tabula Peutingeriana bis zur Grundkarte der 2. Hälfte des 20. Jahrhunderts,Buch (Monographie),Bonn,,,,,13.05.2014 11:37,https://www.deutsche-digitale-bibliothek.de/item/A2HWUD3XRP2XEDJSW2NY3P3EKZFYY4IF
"Ottenheym, Konrad A.",2014,Architects without Borders,Migration aof Architects and Architectural Ideas in Europe 1400 - 1700,Buch (Sammelwerk),Mantova,,,,,16.06.2016 10:32,
"Ottenheym, Konrad A.",2014,Introduction,Migration of Architects an Architectural Ideas in Late Medieval and Early Modern Europe,Beitrag in …,,,,,,16.06.2016 10:31,
"Stenvert, Roland",1992,Goed voorbeeld doet goed volgen: Ordeboeken en poortjes,,Beitrag in …,,,,,97–117,02.06.2016 14:04,
"Stenvert, Ronald",ca. 1999,Transport en verwerking van Bentheimer zandsteen,,Beitrag in …,,,,,31–46,13.08.2015 10:49,
"Van de Vijver, Dirk, De Jonge, Krista",2013,`Ces fleurons lointains à notre splendide diadème artistique`.,The historiography of the influence of netherlandish architecture in Europe,Beitrag in …,,,,,31–49,16.06.2016 17:08,
"Vries, Dirk J. de",1992,'Soe dattet een Ewych Werck mach bliven',de bouw van de Onze Lieve Vrouwetoren of Peperbus te Zwolle,Beitrag in …,,,,,71 - 96.,02.06.2016 14:01,
